一级目录,英文,二级目录,英文,三级目录,英文,四级目录,英文,五级目录,英文
数据管理工具,Data Management Tools,字段,Fields,转换时间字段,Convert Time Field,,,,
数据管理工具,Data Management Tools,字段,Fields,转置字段,Transpose Fields,,,,
数据管理工具,Data Management Tools,属性域,Domains,从属性域中删除编码值,Delete Coded Value From Domain,,,,
数据管理工具,Data Management Tools,属性域,Domains,创建属性域,Create Domain,,,,
数据管理工具,Data Management Tools,属性域,Domains,删除属性域,Delete Domain,,,,
数据管理工具,Data Management Tools,属性域,Domains,向属性域添加编码值,Add Coded Value To Domain,,,,
数据管理工具,Data Management Tools,属性域,Domains,属性域转表,Domain To Table,,,,
数据管理工具,Data Management Tools,属性域,Domains,指定字段的属性域,Assign Domain To Field,,,,
数据管理工具,Data Management Tools,属性域,Domains,排序编码值属性域,Sort Coded Value Domain,,,,
数据管理工具,Data Management Tools,属性域,Domains,移除字段的属性域,Remove Domain From Field,,,,
数据管理工具,Data Management Tools,属性域,Domains,表转属性域,Table To Domain,,,,
数据管理工具,Data Management Tools,属性域,Domains,设置值域范围,Set Value For Range Domain,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建ArcInfo工作空间,Create ArcInfo Workspace,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建ArcSDE连接文件,Create ArcSDE Connection File,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建个人地理数据库,Create Personal GDB,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建数据库连接,Create Database Connection,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建文件地理数据库,Create File GDB,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建文件夹,Create Folder,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建空间类型,Create Spatial Type,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,创建要素数据集,Create Feature Dataset,,,,
数据管理工具,Data Management Tools,工作空间,Workspace,清除工作空间缓存,Clear Workspace Cache,,,,
数据管理工具,Data Management Tools,常规,General,ArcGIS Pro中使用的分析工具和Python方法,Analyze Tools and Python Methods for use in ArcGIS Pro,,,,
数据管理工具,Data Management Tools,常规,General,创建数据库视图,Create Database View,,,,
数据管理工具,Data Management Tools,常规,General,删除,Delete,,,,
数据管理工具,Data Management Tools,常规,General,删除相同的,Delete Identical,,,,
数据管理工具,Data Management Tools,常规,General,合并,Merge,,,,
数据管理工具,Data Management Tools,常规,General,合并分支,Merge Branch,,,,
数据管理工具,Data Management Tools,常规,General,复制,Copy,,,,
数据管理工具,Data Management Tools,常规,General,排序,Sort,,,,
数据管理工具,Data Management Tools,常规,General,查找相同的,Find Identical,,,,
数据管理工具,Data Management Tools,常规,General,计算值,Calculate Value,,,,
数据管理工具,Data Management Tools,常规,General,追加,Append,,,,
数据管理工具,Data Management Tools,常规,General,选择数据,Select Data,,,,
数据管理工具,Data Management Tools,常规,General,重命名,Rename,,,,
数据管理工具,Data Management Tools,归档,Archiving,启用归档,Enable Archiving,,,,
数据管理工具,Data Management Tools,归档,Archiving,禁用归档,Disable Archiving,,,,
数据管理工具,Data Management Tools,打包,Package,共享包,Share Package,,,,
数据管理工具,Data Management Tools,打包,Package,创建地图切片包,Create Map Tile Package,,,,
数据管理工具,Data Management Tools,打包,Package,合并图层,Consolidate Layer,,,,
数据管理工具,Data Management Tools,打包,Package,合并地图,Consolidate Map,,,,
数据管理工具,Data Management Tools,打包,Package,合并定位器,Consolidate Locator,,,,
数据管理工具,Data Management Tools,打包,Package,合并结果,Consolidate Result,,,,
数据管理工具,Data Management Tools,打包,Package,打包图层,Package Layer,,,,
数据管理工具,Data Management Tools,打包,Package,打包地图,Package Map,,,,
数据管理工具,Data Management Tools,打包,Package,打包定位器,Package Locator,,,,
数据管理工具,Data Management Tools,打包,Package,打包结果,Package Result,,,,
数据管理工具,Data Management Tools,打包,Package,提取包,Extract Package,,,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,从文件变换,Warp From File,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,平移,Shift,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,扭曲,Warp,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,投影栅格,Project Raster,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,旋转,Rotate,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,注册栅格,Register Raster,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,翻转,Flip,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,重设比例,Rescale,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,栅格,Raster,镜像,Mirror,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,创建空间参考,Create Spatial Reference,,,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,创建自定义地理(坐标)变换,Create Custom Geographic Transformation,,,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,定义投影,Define Projection,,,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,批量投影,Batch Project,,,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,投影,Project,,,,
数据管理工具,Data Management Tools,投影和变换,Projections and Transformations,转换坐标记法,Convert Coordinate Notation,,,,
数据管理工具,Data Management Tools,拓扑,Topology,从拓扑中移除要素类,Remove Feature Class From Topology,,,,
数据管理工具,Data Management Tools,拓扑,Topology,创建拓扑,Create Topology,,,,
数据管理工具,Data Management Tools,拓扑,Topology,向拓扑中添加要素类,Add Feature Class To Topology,,,,
数据管理工具,Data Management Tools,拓扑,Topology,导出拓扑错误,Export Topology Errors,,,,
数据管理工具,Data Management Tools,拓扑,Topology,拓扑验证,Validate Topology,,,,
数据管理工具,Data Management Tools,拓扑,Topology,添加拓扑规则,Add Rule To Topology,,,,
数据管理工具,Data Management Tools,拓扑,Topology,移除拓扑规则,Remove Rule From Topology,,,,
数据管理工具,Data Management Tools,拓扑,Topology,设置拓扑容差,Set Cluster Tolerance,,,,
数据管理工具,Data Management Tools,数据比较,Data Comparison,TIN比较,TIN Compare,,,,
数据管理工具,Data Management Tools,数据比较,Data Comparison,文件比较,File Compare,,,,
数据管理工具,Data Management Tools,数据比较,Data Comparison,栅格比较,Raster Compare,,,,
数据管理工具,Data Management Tools,数据比较,Data Comparison,检测要素更改,Detect Feature Changes,,,,
数据管理工具,Data Management Tools,数据比较,Data Comparison,表比较,Table Compare,,,,
数据管理工具,Data Management Tools,数据比较,Data Comparison,要素比较,Feature Compare,,,,
数据管理工具,Data Management Tools,文件地理数据库,File Geodatabase,压缩文件地理数据库数据,Compress File Geodatabase Data,,,,
数据管理工具,Data Management Tools,文件地理数据库,File Geodatabase,恢复文件地理数据库,Recover File Geodatabase,,,,
数据管理工具,Data Management Tools,文件地理数据库,File Geodatabase,生成文件地理数据库许可,Generate File Geodatabase License,,,,
数据管理工具,Data Management Tools,文件地理数据库,File Geodatabase,生成许可的文件地理数据库,Generate Licensed File Geodatabase,,,,
数据管理工具,Data Management Tools,文件地理数据库,File Geodatabase,紧凑型,Compact,,,,
数据管理工具,Data Management Tools,文件地理数据库,File Geodatabase,解压文件地理数据库数据,Uncompress File Geodatabase Data,,,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,分割栅格,Split Raster,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,创建全色锐化的栅格数据集,Create Pan-sharpened Raster Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,创建正射校正的栅格数据集,Create Ortho Corrected Raster Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,提取子数据集,Extract Subdataset,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,栅格转数字地形高程(DTED),Raster To DTED,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,波段合成,Composite Bands,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,裁剪,Clip,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,计算全色锐化权重,Compute Pansharpen Weights,,
数据管理工具,Data Management Tools,栅格,Raster,栅格处理,Raster Processing,重采样,Resample,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,删除栅格属性表,Delete Raster Attribute Table,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,删除色彩映射表,Delete Colormap,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,导出栅格坐标文件,Export Raster World File,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,批量构建金字塔,Batch Build Pyramids,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,批量计算统计数据,Batch Calculate Statistics,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,构建栅格属性表,Build Raster Attribute Table,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,构建金字塔,Build Pyramids,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,构建金字塔和统计数据,Build Pyramids And Statistics,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,添加色彩映射表,Add Colormap,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,获取像元值,Get Cell Value,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,获取栅格属性,Get Raster Properties,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,计算统计数据,Calculate Statistics,,
数据管理工具,Data Management Tools,栅格,Raster,栅格属性,Raster Properties,设置栅格属性,Set Raster Properties,,
数据管理工具,Data Management Tools,栅格,Raster,栅格数据集,Raster Dataset,下载栅格,Download Rasters,,
数据管理工具,Data Management Tools,栅格,Raster,栅格数据集,Raster Dataset,创建栅格数据集,Create Raster Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,栅格数据集,Raster Dataset,复制栅格,Copy Raster,,
数据管理工具,Data Management Tools,栅格,Raster,栅格数据集,Raster Dataset,工作空间转栅格数据集,Workspace To Raster Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,栅格数据集,Raster Dataset,栅格目录转栅格数据集,Raster Catalog To Raster Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,栅格数据集,Raster Dataset,镶嵌,Mosaic,,
数据管理工具,Data Management Tools,栅格,Raster,栅格数据集,Raster Dataset,镶嵌至新栅格,Mosaic To New Raster,,
数据管理工具,Data Management Tools,栅格,Raster,栅格目录,Raster Catalog,修复栅格目录路径,Repair Raster Catalog Paths,,
数据管理工具,Data Management Tools,栅格,Raster,栅格目录,Raster Catalog,创建栅格目录,Create Raster Catalog,,
数据管理工具,Data Management Tools,栅格,Raster,栅格目录,Raster Catalog,删除栅格目录项,Delete Raster Catalog Items,,
数据管理工具,Data Management Tools,栅格,Raster,栅格目录,Raster Catalog,复制栅格目录项,Copy Raster Catalog Items,,
数据管理工具,Data Management Tools,栅格,Raster,栅格目录,Raster Catalog,导出栅格目录路径,Export Raster Catalog Paths,,
数据管理工具,Data Management Tools,栅格,Raster,栅格目录,Raster Catalog,工作空间转栅格目录,Workspace To Raster Catalog,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,块校正,Block Adjustment,分析控制点,Analyze Control Points
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,块校正,Block Adjustment,应用块校正,Apply Block Adjustment
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,块校正,Block Adjustment,计算块校正,Compute Block Adjustment
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,块校正,Block Adjustment,计算控制点,Compute Control Points
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,块校正,Block Adjustment,计算连接点,Compute Tie Points
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,块校正,Block Adjustment,追加控制点,Append Control Points
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,从镶嵌数据集中移除栅格,Remove Rasters From Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,修复镶嵌数据集路径,Repair Mosaic Dataset Paths,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,分割镶嵌数据集项目,Split Mosaic Dataset Items,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,分析镶嵌数据集,Analyze Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,创建镶嵌数据集,Create Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,删除镶嵌数据集,Delete Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,合并镶嵌数据集项目,Merge Mosaic Dataset Items,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,同步镶嵌数据集,Synchronize Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,定义概视图,Define Overviews,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,定义镶嵌数据集NoData,Define Mosaic Dataset NoData,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,导入镶嵌数据集边界,Import Mosaic Dataset Geometry,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,导出镶嵌数据集几何,Export Mosaic Dataset Geometry,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,导出镶嵌数据集项目,Export Mosaic Dataset Items,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,平衡镶嵌数据集色彩,Color Balance Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,引用已有数据创建镶嵌数据集,Create Referenced Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,更改镶嵌数据集方案,Alter Mosaic Dataset Schema,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,构建连缝线,Build Seamlines,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,构建概视图,Build Overviews,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,构建轮廓,Build Footprints,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,构建边界,Build Boundary,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,构建镶嵌数据集项目缓存,Build Mosaic Dataset Item Cache,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,添加栅格至镶嵌数据集,Add Rasters To Mosaic Dataset,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,生成排除区域,Generate Exclude Area,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,编辑栅格函数,Edit Raster Function,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,计算像元大小范围,Calculate Cell Size Ranges,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,计算脏区,Compute Dirty Area,,
数据管理工具,Data Management Tools,栅格,Raster,镶嵌数据集,Mosaic Dataset,设置镶嵌数据集属性,Set Mosaic Dataset Properties,,
数据管理工具,Data Management Tools,照片,Photos,地理标记照片转点,GeoTagged Photos To Points,,,,
数据管理工具,Data Management Tools,照片,Photos,按时间将照片与行匹配,Match Photos To Rows By Time,,,,
数据管理工具,Data Management Tools,版本,Versions,切换版本,Alter Version,,,,
数据管理工具,Data Management Tools,版本,Versions,创建版本,Create Version,,,,
数据管理工具,Data Management Tools,版本,Versions,删除版本,Delete Version,,,,
数据管理工具,Data Management Tools,版本,Versions,协调版本,Reconcile Versions,,,,
数据管理工具,Data Management Tools,版本,Versions,取消注册版本,Unregister As Versioned,,,,
数据管理工具,Data Management Tools,版本,Versions,更改版本,Change Version,,,,
数据管理工具,Data Management Tools,版本,Versions,注册版本,Register As Versioned,,,,
数据管理工具,Data Management Tools,版本,Versions,添加字段冲突过滤器,Add Field Conflict Filter,,,,
数据管理工具,Data Management Tools,版本,Versions,移除字段冲突过滤器,Remove Field Conflict Filter,,,,
数据管理工具,Data Management Tools,索引,Indexes,添加属性索引,Add Attribute Index,,,,
数据管理工具,Data Management Tools,索引,Indexes,添加空间索引,Add Spatial Index,,,,
数据管理工具,Data Management Tools,索引,Indexes,移除属性索引,Remove Attribute Index,,,,
数据管理工具,Data Management Tools,索引,Indexes,移除空间索引,Remove Spatial Index,,,,
数据管理工具,Data Management Tools,表,Table,分析,Analyze,,,,
数据管理工具,Data Management Tools,表,Table,创建取消注册表,Create Unregistered Table,,,,
数据管理工具,Data Management Tools,表,Table,创建表,Create Table,,,,
数据管理工具,Data Management Tools,表,Table,删除行,Delete Rows,,,,
数据管理工具,Data Management Tools,表,Table,复制行,Copy Rows,,,,
数据管理工具,Data Management Tools,表,Table,截断表,Truncate Table,,,,
数据管理工具,Data Management Tools,表,Table,数据透视表,Pivot Table,,,,
数据管理工具,Data Management Tools,表,Table,获取计数,Get Count,,,,
数据管理工具,Data Management Tools,要素,Features,XY转线,XY To Line,,,,
数据管理工具,Data Management Tools,要素,Features,修复几何,Repair Geometry,,,,
数据管理工具,Data Management Tools,要素,Features,切分,Dice,,,,
数据管理工具,Data Management Tools,要素,Features,删除要素,Delete Features,,,,
数据管理工具,Data Management Tools,要素,Features,原点夹角距离定义线,Bearing Distance To Line,,,,
数据管理工具,Data Management Tools,要素,Features,取消线分割,Unsplit Line,,,,
数据管理工具,Data Management Tools,要素,Features,在折点处分割线,Split Line At Vertices,,,,
数据管理工具,Data Management Tools,要素,Features,在点处分割线,Split Line at Point,,,,
数据管理工具,Data Management Tools,要素,Features,复制要素,Copy Features,,,,
数据管理工具,Data Management Tools,要素,Features,多部件至单部件,Multipart To Singlepart,,,,
数据管理工具,Data Management Tools,要素,Features,大地测量密度,Geodetic Densify,,,,
数据管理工具,Data Management Tools,要素,Features,最小边界几何,Minimum Bounding Geometry,,,,
数据管理工具,Data Management Tools,要素,Features,检查几何,Check Geometry,,,,
数据管理工具,Data Management Tools,要素,Features,添加XY坐标,Add XY Coordinates,,,,
数据管理工具,Data Management Tools,要素,Features,添加几何属性,Add Geometry Attributes,,,,
数据管理工具,Data Management Tools,要素,Features,点集转线,Points To Line,,,,
数据管理工具,Data Management Tools,要素,Features,表转椭圆,Table To Ellipse,,,,
数据管理工具,Data Management Tools,要素,Features,要素包络矩形转面,Feature Envelope To Polygon,,,,
数据管理工具,Data Management Tools,要素,Features,要素折点转点,Feature Vertices To Points,,,,
数据管理工具,Data Management Tools,要素,Features,要素转点,Feature To Point,,,,
数据管理工具,Data Management Tools,要素,Features,要素转线,Feature To Line,,,,
数据管理工具,Data Management Tools,要素,Features,要素转面,Feature To Polygon,,,,
数据管理工具,Data Management Tools,要素,Features,调整3D Z值,Adjust 3D Z,,,,
数据管理工具,Data Management Tools,要素,Features,面转线,Polygon To Line,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,创建取消注册要素类,Create Unregisterd Feature Class,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,创建渔网,Create Fishnet,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,创建要素类,Create Feature Class,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,创建随机点,Create Random Points,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,整合,Integrate,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,更新注记要素类,Update Annotation Feature Class,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,计算默认XY容差,Calculate Default XY Tolerance,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,计算默认空间格网索引,Calculate Default Spatial Grid Index,,,,
数据管理工具,Data Management Tools,要素类,Feature Class,追加注记要素类,Append Annotation Feature Classes,,,,
数据管理工具,Data Management Tools,连接,Joins,添加连接,Add Join,,,,
数据管理工具,Data Management Tools,连接,Joins,移除连接,Remove Join,,,,
数据管理工具,Data Management Tools,连接,Joins,连接字段,Join Field,,,,
数据管理工具,Data Management Tools,附件,Attachments,启用附件,Enable Attachments,,,,
数据管理工具,Data Management Tools,附件,Attachments,添加附件,Add Attachments,,,,
数据管理工具,Data Management Tools,附件,Attachments,生成附件匹配表,Generate Attachment Match Table,,,,
数据管理工具,Data Management Tools,附件,Attachments,禁用附件,Disable Attachments,,,,
数据管理工具,Data Management Tools,附件,Attachments,移除附件,Remove Attachments,,,,
线性参考工具,Linear Referencing Tools,创建路径,Create Routes,,,,,,
线性参考工具,Linear Referencing Tools,创建路径事件图层,Make Route Event Layer,,,,,,
线性参考工具,Linear Referencing Tools,叠加路径事件,Overlay Route Events,,,,,,
线性参考工具,Linear Referencing Tools,校准路径,Calibrate Routes,,,,,,
线性参考工具,Linear Referencing Tools,沿路径定位要素,Locate Features Along Route,,,,,,
线性参考工具,Linear Referencing Tools,融合路径事件,Dissolve Route Events,,,,,,
线性参考工具,Linear Referencing Tools,转换路径事件,Transform Route Events,,,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,分散标记,Disperse Markers,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,创建地下通道,Create Underpass,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,创建天桥,Create Overpass,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,对齐标记,Align Marker To Stroke Or Fill,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,按角度设置控制点,Set Representation Control Point By Angle,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,相交处设置控制点,Set Representation Control Point At Intersect,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,计算线端头,Calculate Line Caps,,,,
制图工具,Cartography Tools,制图优化,Cartographic Refinement,计算面的主角度,Calculate Polygon Main Angle,,,,
制图工具,Cartography Tools,制图综合,Generalization,创建制图分区,Create Carographic Partitions,,,,
制图工具,Cartography Tools,制图综合,Generalization,合并分开的道路,Merge Divided Roads,,,,
制图工具,Cartography Tools,制图综合,Generalization,平滑线,Smooth Line,,,,
制图工具,Cartography Tools,制图综合,Generalization,平滑面,Smooth Polygon,,,,
制图工具,Cartography Tools,制图综合,Generalization,折叠道路详细信息,Collapse Road Detail,,,,
制图工具,Cartography Tools,制图综合,Generalization,描绘构建区,Delineate Built-Up Areas,,,,
制图工具,Cartography Tools,制图综合,Generalization,提取中心线,Collapse Dual Lines To Centerline,,,,
制图工具,Cartography Tools,制图综合,Generalization,简化建筑物,Simplify Building,,,,
制图工具,Cartography Tools,制图综合,Generalization,简化线,Simplify Line,,,,
制图工具,Cartography Tools,制图综合,Generalization,简化面,Simplify Polygon,,,,
制图工具,Cartography Tools,制图综合,Generalization,细化道路网,Thin Road Network,,,,
制图工具,Cartography Tools,制图综合,Generalization,聚合点,Aggregate Points,,,,
制图工具,Cartography Tools,制图综合,Generalization,聚合面,Aggregate Polygons,,,,
制图工具,Cartography Tools,制图表达管理,Representation Management,删除制图表达,Drop Representation,,,,
制图工具,Cartography Tools,制图表达管理,Representation Management,更新覆盖,Update Override,,,,
制图工具,Cartography Tools,制图表达管理,Representation Management,根据覆盖选择要素,Select Feature By Override,,,,
制图工具,Cartography Tools,制图表达管理,Representation Management,添加制图表达,Add Representation,,,,
制图工具,Cartography Tools,制图表达管理,Representation Management,移除覆盖,Remove Override,,,,
制图工具,Cartography Tools,制图表达管理,Representation Management,计算制图表达规则,Calculate Representation,,,,
制图工具,Cartography Tools,制图表达管理,Representation Management,设置图层制图表达,Set Layer Representation,,,,
制图工具,Cartography Tools,图形冲突,Graphic Conflicts,传递位移,Propagate Displacement,,,,
制图工具,Cartography Tools,图形冲突,Graphic Conflicts,检测图形冲突,Detect Graphic Conflict,,,,
制图工具,Cartography Tools,图形冲突,Graphic Conflicts,解决建筑物冲突,Resolve Building Conflicts,,,,
制图工具,Cartography Tools,图形冲突,Graphic Conflicts,解决道路冲突,Resolve Road Conflicts,,,,
制图工具,Cartography Tools,掩膜工具,Masking Tools,交叉图层掩膜,Intersecting Layers Masks,,,,
制图工具,Cartography Tools,掩膜工具,Masking Tools,死胡同掩膜,Cul-De-Sac Masks,,,,
制图工具,Cartography Tools,掩膜工具,Masking Tools,要素轮廓线掩膜,Feature Outline Masks,,,,
制图工具,Cartography Tools,数据驱动页面,Data Driven Pages,带状地图索引要素,Strip Map Index Features,,,,
制图工具,Cartography Tools,数据驱动页面,Data Driven Pages,格网索引要素,Grid Index Features,,,,
制图工具,Cartography Tools,数据驱动页面,Data Driven Pages,计算UTM带,Calculate UTM Zone,,,,
制图工具,Cartography Tools,数据驱动页面,Data Driven Pages,计算中央经线和纬线,Calculate Central Meridian And Parallels,,,,
制图工具,Cartography Tools,数据驱动页面,Data Driven Pages,计算格网收敛角,Calculate Grid Convergence Angle,,,,
制图工具,Cartography Tools,数据驱动页面,Data Driven Pages,计算相邻字段,Calculate Adjacent Fields,,,,
制图工具,Cartography Tools,格网和经纬网,Grids and Graticules,删除格网和经纬网,Delete Grids And Graticules,,,,
制图工具,Cartography Tools,格网和经纬网,Grids and Graticules,建立格网和经纬网图层,Make Grids And Graticules Layer,,,,
制图工具,Cartography Tools,注记,Annotation,分块标注转注记,Tiled Labels To Annotation,,,,
制图工具,Cartography Tools,注记,Annotation,地图服务器缓存切片方案转换为面,Map Server Cache Tiling Scheme To Polygons,,,,
制图工具,Cartography Tools,注记,Annotation,等值线注记,Contour Annotation,,,,
转换工具,Conversion Tools,Excel,Excel,Excel转表,Excel To Table,,,,
转换工具,Conversion Tools,Excel,Excel,表转Excel,Table To Excel,,,,
转换工具,Conversion Tools,JSON,JSON,JSON转要素,JSON To Features,,,,
转换工具,Conversion Tools,JSON,JSON,要素转JSON,Features To JSON,,,,
转换工具,Conversion Tools,从PDF,From PDF,PDF转TIFF,PDF To TIFF,,,,
转换工具,Conversion Tools,元数据,Metadata,Esri元数据转换程序,Esri Metadata Translator,,,,
转换工具,Conversion Tools,元数据,Metadata,USGS MP元数据转换程序,USGS MP Metadata Translator,,,,
转换工具,Conversion Tools,元数据,Metadata,XML模式验证,XML Schema Validation,,,,
转换工具,Conversion Tools,元数据,Metadata,元数据发布程序,Metadata Publisher,,,,
转换工具,Conversion Tools,元数据,Metadata,元数据导入程序,Metadata Importer,,,,
转换工具,Conversion Tools,元数据,Metadata,升级元数据,Upgrade Metadata,,,,
转换工具,Conversion Tools,元数据,Metadata,同步元数据,Synchronize Metadata,,,,
转换工具,Conversion Tools,元数据,Metadata,导入元数据,Import Metadata,,,,
转换工具,Conversion Tools,元数据,Metadata,导出元数据,Export Metadata,,,,
转换工具,Conversion Tools,元数据,Metadata,批量导出元数据,Export Metadata Multiple,,,,
转换工具,Conversion Tools,元数据,Metadata,批量验证元数据,Validate Metadata Multiple,,,,
转换工具,Conversion Tools,元数据,Metadata,验证元数据,Validate Metadata,,,,
转换工具,Conversion Tools,由GPS转出,From GPS,GPX转要素,GPX To Features,,,,
转换工具,Conversion Tools,由KML转出,From KML,KML转图层,KML To Layer,,,,
转换工具,Conversion Tools,由WFS转出,From WFS,WFS至要素类,WFS To Feature Class,,,,
